"COUNTRY_ID","COUNTRY_NAME","REGION_ID"
"AR","Argentina",20
"AU","Australia",40
"BE","Belgium",10
"BR","Brazil",20
"CA","Canada",20
"CH","Switzerland",10
"CN","China",30
"DE","Germany",10
"DK","Denmark",10
"EG","Egypt",50
"FR","France",10
"GB","United Kingdom of Great Britain and Northern Ireland",10
"IL","Israel",30
"IN","India",30
"IT","Italy",10
"JP","Japan",30
"KW","Kuwait",30
"ML","Malaysia",30
"MX","Mexico",20
"NG","Nigeria",50
"NL","Netherlands",10
"SG","Singapore",30
"US","United States of America",20
"ZM","Zambia",50
"ZW","Zimbabwe",50
